Job Titles,Department
SERGEANT,DEPARTMENT OF POLICE
TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT
SERGEANT,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
MOTOR TRUCK DRIVER,DEPT OF WATER MANAGEMENT
LIEUTENANT,DEPARTMENT OF POLICE
ATTORNEY,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
AMBULANCE COMMANDER,FIRE DEPARTMENT
TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT
PRINCIPAL OPERATIONS ANALYST,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
ADMINISTRATIVE ASST II,DEPT OF BUILDINGS
MOTOR TRUCK DRIVER,DEPARTMENT OF AVIATION
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
SUPRVNG BUILDING/CONTRUCT INSPECTOR,DEPT OF BUILDINGS
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
COORDINATING FIRE COMMUNICATIONS OPERATOR,OFFICE OF EMERGENCY MANAGEMENT
SERGEANT,DEPARTMENT OF POLICE
LIEUTENANT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
LIEUTENANT,DEPARTMENT OF POLICE
FOREMAN OF MOTOR TRUCK DRIVERS,DEPT STREETS AND SANITATION
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
HOISTING ENGINEER,DEPT OF WATER MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
LOAD DISPATCHER,CHICAGO DEPT OF TRANSPORTATION
POLICE OFFICER (ASGND AS MARINE OFFICER),DEPARTMENT OF POLICE
REFUSE COLLECTION COORD,DEPT STREETS AND SANITATION
TRAFFIC ENFORCEMENT TECH,DEPARTMENT OF FINANCE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
LIEUTENANT,DEPARTMENT OF POLICE
AVIATION COMMUNICATIONS OPERATOR,DEPARTMENT OF AVIATION
ACCOUNTANT,DEPARTMENT OF FINANCE
TRAFFIC CONTROL AIDE-HOURLY,OFFICE OF EMERGENCY MANAGEMENT
SANITATION LABORER,DEPT STREETS AND SANITATION
PARAMEDIC,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
TRAFFIC CONTROL AIDE-HOURLY,OFFICE OF EMERGENCY MANAGEMENT
MACHINIST (AUTOMOTIVE),DAIS
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
ASPHALT LABORER,CHICAGO DEPT OF TRANSPORTATION
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
FIRE ENGINEER-PARAMEDIC,FIRE DEPARTMENT
LIBRARY PAGE,CHICAGO PUBLIC LIBRARY
CONCRETE LABORER,CHICAGO DEPT OF TRANSPORTATION
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
OPERATING ENGINEER-GROUP C,DEPARTMENT OF AVIATION
STUDENT INTERN,DEPARTMENT OF AVIATION
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
GENERAL FOREMAN OF ELECTRICAL MECHANICS,DAIS
POLICE OFFICER,DEPARTMENT OF POLICE
GENERAL LABORER - AVIATION,DEPARTMENT OF AVIATION
