company,city
Walmart,Bentonville
Amazon,Seattle
Apple,Cupertino
CVS Health,Woonsocket
UnitedHealth Group,Minnetonka
Exxon Mobil,Irving
Berkshire Hathaway,Omaha
Alphabet,Mountain View
McKesson,Irving
AmerisourceBergen,Conshohocken
Costco Wholesale,Issaquah
Cigna,Bloomfield
AT&T,Dallas
Microsoft,Redmond
Cardinal Health,Dublin
Chevron,San Ramon
Home Depot,Atlanta
Walgreens Boots Alliance,Deerfield
Marathon Petroleum,Findlay
Elevance Health,Indianapolis
Kroger,Cincinnati
Ford Motor,Dearborn
Verizon Communications,New York
JPMorgan Chase,New York
General Motors,Detroit
Centene,St. Louis
Meta Platforms,Menlo Park
Comcast,Philadelphia
Phillips 66,Houston
Valero Energy,San Antonio
Dell Technologies,Round Rock
Target,Minneapolis
Fannie Mae,Washington
United Parcel Service,Atlanta
Lowe's,Mooresville
Bank of America,Charlotte
Johnson & Johnson,New Brunswick
Archer Daniels Midland,Chicago
FedEx,Memphis
Humana,Louisville
Wells Fargo,San Francisco
State Farm Insurance,Bloomington
Pfizer,New York
Citigroup,New York
PepsiCo,Purchase
Intel,Santa Clara
Procter & Gamble,Cincinnati
General Electric,Boston
IBM,Armonk
MetLife,New York
Prudential Financial,Newark
Albertsons,Boise
Walt Disney,Burbank
Energy Transfer,Dallas
Lockheed Martin,Bethesda
Freddie Mac,McLean
Goldman Sachs Group,New York
Raytheon Technologies,Waltham
HP,Palo Alto
Boeing,Chicago
Morgan Stanley,New York
HCA Healthcare,Nashville
AbbVie,North Chicago
Dow,Midland
Tesla,Austin
Allstate,Northbrook
American International Group,New York
Best Buy,Richfield
Charter Communications,Stamford
Sysco,Houston
Merck,Kenilworth
New York Life Insurance,New York
Caterpillar,Deerfield
Cisco Systems,San Jose
TJX,Framingham
Publix Super Markets,Lakeland
ConocoPhillips,Houston
Liberty Mutual Insurance Group,Boston
Progressive,Mayfield Village
Nationwide,Columbus
Tyson Foods,Springdale
Bristol-Myers Squibb,New York
Nike,Beaverton
Deere,Moline
American Express,New York
Abbott Laboratories,Abbott Park
StoneX Group,New York
Plains GP Holdings,Houston
Enterprise Products Partners,Houston
TIAA,New York
Oracle,Austin
Thermo Fisher Scientific,Waltham
Coca-Cola,Atlanta
General Dynamics,Reston
CHS,Inver Grove Heights
USAA,San Antonio
Northwestern Mutual,Milwaukee
Nucor,Charlotte
Exelon,Chicago
Massachusetts Mutual Life Insurance,Springfield
Northrop Grumman,Falls Church
3M,St. Paul
Travelers,New York
Arrow Electronics,Centennial
Honeywell International,Charlotte
Dollar General,Goodlettsville
Qualcomm,San Diego
Capital One Financial,McLean
TD Synnex,Fremont
Philip Morris International,New York
World Fuel Services,Miami
Performance Food Group,Richmond
Delta Air Lines,Atlanta
American Airlines Group,Fort Worth
Netflix,Los Gatos
Paramount Global,New York
US Foods Holding,Rosemont
Danaher,Washington
Jabil,St. Petersburg
Starbucks,Seattle
Mondelez International,Chicago
Eli Lilly,Indianapolis
Hewlett Packard Enterprise,Houston
D.R. Horton,Arlington
Molina Healthcare,Long Beach
CBRE Group,Dallas
Micron Technology,Boise
Broadcom,San Jose
Gilead Sciences,Foster City
PBF Energy,Parsippany
Lennar,Miami
United Natural Foods,Providence
NRG Energy,Houston
Nvidia,Santa Clara
Occidental Petroleum,Houston
Salesforce,San Francisco
